Programs,Price
Clean drinking water,100
Water Hand-pump,150
Water Well,700
Musallah,100
Small Masjid,7000
Large Masjid,15000
Food pack,50
10 Food Packs,500
20 Food Packs,1000
Cooked Food,Any amount
Feed 100 People,100
Feed 300 People,300
Feed 500 People,500
Eye care,75
Two Eye Surgeries,150
An Eye Camp,500
Support a Maktab Monthly,30
Support a Maktab Yearly,360
Sponsor a child for 3 years,1080
Motorbike,450
Rickshaw,1500
Small Business,1000
Sewing Machine,75
Two Sewing Machines,150
Aqeeqah,100
Goat,100
Sadaqah, any amount
Zakat, any amount
Medical Aid,100
Feed 300 People,300
Feed 500 People,500
Clean Drinking Water,50
Food Pack,50
Winter Survival Kit,100
Blanket,25
